Date,Symbol,Open,Close,High,Low,Volume
2021-03-23,AAPL,123.330002,122.540001,124.239998,122.139999,95467100
2021-03-24,AAPL,122.820000,120.089996,122.900002,120.070000,88530500
2021-03-25,AAPL,119.540001,120.589996,121.660004,119.000000,98844700
2021-03-26,AAPL,120.349998,121.209999,121.480003,118.919998,94071200
2021-03-27,AAPL,120.349998,121.209999,121.480003,118.919998,94071200
2021-03-28,AAPL,120.349998,121.209999,121.480003,118.919998,94071200
2021-03-29,AAPL,121.650002,121.389999,122.580002,120.730003,80819200
2021-03-30,AAPL,120.110001,119.900002,120.400002,118.860001,85671900
2021-03-31,AAPL,121.650002,122.150002,123.519997,121.150002,118323800
2021-04-01,AAPL,123.660004,123.000000,124.180000,122.489998,75089100
2021-04-02,AAPL,123.660004,123.000000,124.180000,122.489998,75089100
2021-04-03,AAPL,123.660004,123.000000,124.180000,122.489998,75089100
2021-04-04,AAPL,123.660004,123.000000,124.180000,122.489998,75089100
2021-04-05,AAPL,123.870003,125.900002,126.160004,123.070000,88651200
2021-04-06,AAPL,126.500000,126.209999,127.129997,125.650002,80171300
2021-04-07,AAPL,125.830002,127.900002,127.919998,125.139999,83466700
2021-04-08,AAPL,128.949997,130.360001,130.389999,128.520004,88844600
2021-04-09,AAPL,129.800003,133.000000,133.039993,129.470001,106686700
2021-04-10,AAPL,129.800003,133.000000,133.039993,129.470001,106686700
2021-04-11,AAPL,129.800003,133.000000,133.039993,129.470001,106686700
2021-04-12,AAPL,132.520004,131.240005,132.850006,130.630005,91420000
2021-04-13,AAPL,132.440002,134.429993,134.660004,131.929993,91266500
2021-04-14,AAPL,134.940002,132.029999,135.000000,131.660004,87222800
2021-04-15,AAPL,133.820007,134.500000,135.000000,133.639999,89347100
2021-04-16,AAPL,134.300003,134.160004,134.669998,133.279999,84922400
2021-04-17,AAPL,134.300003,134.160004,134.669998,133.279999,84922400
2021-04-18,AAPL,134.300003,134.160004,134.669998,133.279999,84922400
2021-04-19,AAPL,133.509995,134.839996,135.470001,133.339996,94264200
2021-04-20,AAPL,135.020004,133.110001,135.529999,131.809998,94812300
2021-04-21,AAPL,132.360001,133.500000,133.750000,131.300003,68847100
2021-04-22,AAPL,133.039993,131.940002,134.149994,131.410004,84566500
2021-04-23,AAPL,132.160004,134.320007,135.119995,132.160004,78657500
2021-04-24,AAPL,132.160004,134.320007,135.119995,132.160004,78657500
2021-04-25,AAPL,132.160004,134.320007,135.119995,132.160004,78657500
2021-04-26,AAPL,134.830002,134.720001,135.059998,133.559998,66905100
2021-04-27,AAPL,135.009995,134.389999,135.410004,134.110001,66015800
2021-04-28,AAPL,134.309998,133.580002,135.020004,133.080002,107760100
2021-04-29,AAPL,136.470001,133.479996,137.070007,132.449997,151101000
2021-04-30,AAPL,131.779999,131.460007,133.559998,131.070007,109839500
2021-05-01,AAPL,131.779999,131.460007,133.559998,131.070007,109839500
2021-05-02,AAPL,131.779999,131.460007,133.559998,131.070007,109839500
2021-05-03,AAPL,132.039993,132.539993,134.070007,131.830002,75135100
2021-05-04,AAPL,131.190002,127.849998,131.490005,126.699997,137564700
2021-05-05,AAPL,129.199997,128.100006,130.449997,127.970001,84000900
2021-05-06,AAPL,127.889999,129.740005,129.750000,127.129997,78128300
2021-05-07,AAPL,130.850006,130.210007,131.259995,129.479996,78973300
2021-05-08,AAPL,130.850006,130.210007,131.259995,129.479996,78973300
2021-05-09,AAPL,130.850006,130.210007,131.259995,129.479996,78973300
2021-05-10,AAPL,129.410004,126.849998,129.539993,126.809998,88071200
2021-05-11,AAPL,123.500000,125.910004,126.269997,122.769997,126142800
2021-05-12,AAPL,123.400002,122.769997,124.639999,122.250000,112172300
2021-05-13,AAPL,124.580002,124.970001,126.150002,124.260002,105861300
2021-05-14,AAPL,126.250000,127.449997,127.889999,125.849998,81918000
2021-05-15,AAPL,126.250000,127.449997,127.889999,125.849998,81918000
2021-05-16,AAPL,126.250000,127.449997,127.889999,125.849998,81918000
2021-05-17,AAPL,126.820000,126.269997,126.930000,125.169998,74244600
2021-05-18,AAPL,126.559998,124.849998,126.989998,124.779999,63342900
2021-05-19,AAPL,123.160004,124.690002,124.919998,122.860001,92612000
2021-05-20,AAPL,125.230003,127.309998,127.720001,125.099998,76857100
2021-05-21,AAPL,127.820000,125.430000,128.000000,125.209999,79295400
2021-05-22,AAPL,127.820000,125.430000,128.000000,125.209999,79295400
2021-05-23,AAPL,127.820000,125.430000,128.000000,125.209999,79295400
2021-05-24,AAPL,126.010002,127.099998,127.940002,125.940002,63092900
2021-05-25,AAPL,127.820000,126.900002,128.320007,126.320000,72009500
2021-05-26,AAPL,126.959999,126.849998,127.389999,126.419998,56575900
2021-05-27,AAPL,126.440002,125.279999,127.639999,125.080002,94625600
2021-05-28,AAPL,125.570000,124.610001,125.800003,124.550003,71311100
2021-05-29,AAPL,125.570000,124.610001,125.800003,124.550003,71311100
2021-05-30,AAPL,125.570000,124.610001,125.800003,124.550003,71311100
2021-05-31,AAPL,125.570000,124.610001,125.800003,124.550003,71311100
2021-06-01,AAPL,125.080002,124.279999,125.349998,123.940002,67637100
2021-06-02,AAPL,124.279999,125.059998,125.239998,124.050003,59278900
2021-06-03,AAPL,124.680000,123.540001,124.849998,123.129997,76229200
2021-06-04,AAPL,124.070000,125.889999,126.160004,123.849998,75169300
2021-06-05,AAPL,124.070000,125.889999,126.160004,123.849998,75169300
2021-06-06,AAPL,124.070000,125.889999,126.160004,123.849998,75169300
2021-06-07,AAPL,126.169998,125.900002,126.320000,124.830002,71057600
2021-06-08,AAPL,126.599998,126.739998,128.460007,126.209999,74403800
2021-06-09,AAPL,127.209999,127.129997,127.750000,126.519997,56877900
2021-06-10,AAPL,127.019997,126.110001,128.190002,125.940002,71186400
2021-06-11,AAPL,126.529999,127.349998,127.440002,126.099998,53522400
2021-06-12,AAPL,126.529999,127.349998,127.440002,126.099998,53522400
2021-06-13,AAPL,126.529999,127.349998,127.440002,126.099998,53522400
2021-06-14,AAPL,127.820000,130.479996,130.539993,127.070000,96906500
2021-06-15,AAPL,129.940002,129.639999,130.600006,129.389999,62746300
2021-06-16,AAPL,130.369995,130.149994,130.889999,128.460007,91815000
2021-06-17,AAPL,129.800003,131.789993,132.550003,129.649994,96721700
2021-06-18,AAPL,130.710007,130.460007,131.509995,130.240005,108953300
2021-06-19,AAPL,130.710007,130.460007,131.509995,130.240005,108953300
2021-06-20,AAPL,130.710007,130.460007,131.509995,130.240005,108953300
2021-06-21,AAPL,130.300003,132.300003,132.410004,129.210007,79663300
2021-06-22,AAPL,132.130005,133.979996,134.080002,131.619995,74783600
2021-06-23,AAPL,133.770004,133.699997,134.320007,133.229996,60214200
